;ITEM;TIPO;DISTRITO;INEP;UNIDADE ESCOLAR;ENDEREÇO;BAIRRO;CEP;lat;lon
0;2;EMTP;I;23263296;ESCOLA MUNICIPAL AGOSTINHO MOREIRA E SILVA;RUA PERI, 20;BARRA DO CEARÁ;60331270;-3.7005495922345384;-38.585680979495365
1;3;EMTP;I;23264144;ESCOLA MUNICIPAL ALDEIDES REGIS;RUA IRINEU DE SOUSA, 183;ÁLVARO WEYNE;60337180;-3.711434745490327;-38.56739243944363
2;4;EMTP;I;23215267;ESCOLA MUNICIPAL ANTONIO CORREIA LIMA;RUA HERMES PARAÍBA, 934;VILA VELHA;60347155;-3.712537196613064;-38.592089868038464
3;5;EMTP;I;23184221;ESCOLA MUNICIPAL ANTONIO MENDES;RUA DONA MENDINHA, 682;CRISTO REDENTOR;60337385;-3.708643507373806;-38.570029266255666
4;6;EMTP;I;23066520;ESCOLA MUNICIPAL CASIMIRO JOSE DE LIMA FILHO;AV. FRANCISCO SÁ, 6449;BARRA DO CEARÁ;60330875;-3.7093398286675376;-38.58206524515304
5;8;EMTP;I;23271507;ESCOLA MUNICIPAL DOIS DE DEZEMBRO;RUA ARAQUÉM, 860;BARRA DO CEARÁ;60331120;-3.7090944786492863;-38.58034346756004
6;9;EMTP;I;23255668;ESCOLA MUNICIPAL DOM ANTONIO BATISTA DE FRAGOSO;AV. FRANCISCO SÁ, 7945;BARRA DO CEARÁ;60330875;-3.704860207803578;-38.589649372436014
7;10;EMTP;I;23234300;ESCOLA MUNICIPAL DOM HELDER CAMARA;RUA FREI ODILON, 623B;FLORESTA;60336190;-3.7247832520891433;-38.57247731111701
8;12;EMTP;I;23257873;ESCOLA MUNICIPAL FRANCISCO EDILSON PINHEIRO;RUA N, 35;VILA VELHA;60349160;-3.7185106723595007;-38.60302368236085
9;13;EMTP;I;23071168;ESCOLA MUNICIPAL FRANCISCO SILVA CAVALCANTE;AV. CONSELHEIRO LAFAYETTE, 205;FLORESTA;60340192;-3.7185762208349304;-38.579767961089985
10;14;EMTP;I;23234318;ESCOLA MUNICIPAL HERONDINA LIMA CAVALCANTE;AV. AMBIENTALISTA ARY THERS, 310;VILA VELHA;60348100;-3.7158511960748104;-38.598011781737874
11;15;EMTP;I;23071028;ESCOLA MUNICIPAL HILBERTO SILVA;AV. PRESIDENTE CASTELO BRANCO, 2973;CARLITO PAMPLONA;60312060;-3.712239469025537;-38.555623352332574
12;16;EMTP;I;23256036;ESCOLA MUNICIPAL JADER DE FIGUEIREDO CORREIA;RUA TOCANDIRA, 61;BARRA DO CEARÁ;60330155;-3.7058598109701966;-38.589720323293506
13;17;EMTP;I;23255749;ESCOLA MUNICIPAL JESUS CRISTO;RUA ALBERTO FERREIRA, 564;JARDIM IRACEMA;60341140;-3.721937265655771;-38.583417598309836
14;18;EMTP;I;23072270;ESCOLA MUNICIPAL JOSE DE ALENCAR;RUA ALBERTO FERREIRA, 248;JARDIM IRACEMA;60341140;-3.7197200741424528;-38.58335821376504
15;19;EMTP;I;23263326;ESCOLA MUNICIPAL LORHAN MARQUES MEDEIROS;RUA CREUZA ROCHA, 255;JARDIM GUANABARA;60346352;-3.7219336010974544;-38.59102219464952
16;20;EMTP;I;23255641;ESCOLA MUNICIPAL MANOEL RODRIGUES;RUA MARIA CLARA, 1237;JARDIM GUANABARA;60346218;-3.7248247156993464;-38.59154083330122
17;21;EMTP;I;23255854;ESCOLA MUNICIPAL MARIA DALVA SEVERINO MARREIRO;RUA RIO PARAGUAI, 782;JARDIM IRACEMA;60341270;-3.7253005737278646;-38.5844129165463
18;22;EMTP;I;23257881;ESCOLA MUNICIPAL MARIA MARIZA MENDES DE CARVALHO;RUA RAIMUNDO CUNHA, 1174;VILA VELHA;60345151;-3.719944971526035;-38.60611377740163
