Posicao,Bairro,2021_NV,2022_NV,2021_MA,2022_MA,Porcentagem-NV-MA-2021,Porcentagem-NV-MA-2022,Percentual-Crescimento
1,Curió,140,72,22,14,15.7,19.4,23.7
2,Vicente Pinzón,651,593,94,114,14.4,19.2,33.1
8,Cais do Porto,231,172,39,28,16.9,16.3,-3.6
11,Bom Jardim,818,724,143,110,17.5,15.2,-13.1
16,Granja Portugal,568,503,82,74,14.4,14.7,1.9
18,Siqueira,519,495,77,72,14.8,14.5,-2.0
20,Genibaú,543,450,98,64,18.0,14.2,-21.2
22,Granja Lisboa,650,585,95,81,14.6,13.8,-5.3
29,Guajerú,62,53,7,7,11.3,13.2,17.0
45,Barra do Ceará,935,798,121,93,12.9,11.7,-9.9
58,Mucuripe,141,148,15,15,10.6,10.1,-4.7
65,Praia de Iracema,54,32,5,3,9.3,9.4,1.2
77,Canindezinho,436,398,79,31,18.1,7.8,-57.0
89,Conjunto Ceará II,153,149,11,10,7.2,6.7,-6.7
91,Conjunto Ceará I,309,253,25,16,8.1,6.3,-21.8
