"bairro","Polig_atuac","Adoção áreas verdes"
"São Gerardo","Não",2
"Jardim Guanabara","Não",1
"Carlito Pamplona","Não",1
"Monte Castelo","Não",1
"Cristo Redentor","Não",2
"Jardim Iracema","Não",0
"Boa Vista/Castelão","Não",0
"Barra do Ceará","5",7
"Pirambu","Não",0
"Floresta","Não",1
"Itaoca","Não",0
"Meireles","Não",7
"Bom Futuro","Não",0
"Vila Velha","Não",4
"Jardim América","Não",2
"Cocó","Não",7
"Cidade 2000","Não",7
"Bela Vista","Não",0
"Manuel Dias Branco","Não",0
"Praia do Futuro I","Não",1
"Mucuripe","1",0
"Praia do Futuro II","Não",1
"Olavo Oliveira","Não",0
"Engenheiro Luciano Cavalcante","Não",14
"Guararapes","Não",2
"Salinas","Não",0
"Varjota","Não",2
"Dionísio Torres","Não",6
"Papicu","Não",0
"Cais do Porto","1",3
"Aldeota","Não",14
"Vicente Pinzón","1",5
"Parquelândia","Não",0
"Antônio Bezerra","Não",1
"Quintino Cunha","Não",0
"De Lourdes","Não",3
"Amadeu Furtado","Não",2
"Henrique Jorge","Não",5
"Pedras","Não",0
"João XXIII","Não",1
"Autran Nunes","Não",3
"Jóquei Clube","Não",2
"Dom Lustosa","Não",1
"Presidente Kennedy","Não",2
"Pici","Não",5
"Bonsucesso","Não",1
"Panamericano","Não",2
"Padre Andrade","Não",1
"Demócrito Rocha","Não",2
"Couto Fernandes","Não",0
"Montese","Não",1
"Vila União","Não",0
"José Bonifácio","Não",2
"Aeroporto","Não",0
"Ellery","Não",0
"Parque Santa Rosa","Não",0
"Moura Brasil","Não",0
"Benfica","Não",3
"Granja Lisboa","2",7
"Dendê","Não",3
"Mondubim","Não",12
"Jardim Cearense","Não",3
"Vila Peri","Não",2
"Passaré","Não",12
"Manoel Sátiro","Não",5
"Parque São José","Não",0
"Barroso","Não",16
"Conjunto Esperança","Não",3
"Genibaú","3",1
"Centro","Não",19
"Granja Portugal","3",6
"Bom Jardim","2",2
"Prefeito José Walter","Não",32
"Planalto Ayrton Senna","Não",0
"Aracapé","Não",2
"Parque Presidente Vargas","Não",0
"Canindezinho","2",3
"Novo Mondubim","Não",3
"Siqueira","2",2
"Parque Manibura","Não",5
"Sabiaguaba","Não",0
"Lagoa Redonda","Não",6
"Coaçu","Não",4
"São Bento","Não",3
"Paupina","Não",3
"Serrinha","Não",2
"Joaquim Távora","Não",1
"Ancuri","Não",0
"Jardim das Oliveiras","Não",0
"Edson Queiroz","Não",1
"Alto da Balança","Não",1
"Cajazeiras","Não",3
"Cambeba","Não",8
"José de Alencar","Não",1
"Parque Santa Maria","Não",0
"Guajeru","4",1
"Parreão","Não",2
"Messejana","Não",12
"Curió","4",0
"Conjunto Palmeiras","Não",1
"Jangurussu","Não",70
"Álvaro Weyne","Não",3
"Parque Iracema","Não",2
"Cidade dos Funcionários","Não",1
"Fátima","Não",6
"Conjunto Ceará II","3",17
"Rodolfo Teófilo","Não",4
"Parque Dois Irmãos","Não",6
"Aerolândia","Não",1
"Itaperi","Não",4
"Conjunto Ceará I","3",40
"Parangaba","Não",7
"Jacarecanga","Não",0
"Dias Macêdo","Não",3
"Farias Brito","Não",2
"Damas","Não",1
"Tauape","Não",1
"Praia de Iracema","6",3
"Maraponga","Não",3
"Parque Araxá","Não",0
"Sapiranga/Coité","Não",2
