"bairro","Polig_atuac","AMC","CIOPS_EXPANSAO","CIOPS_SEDE","ETICE_METROFOR","SCSP","SEGER","SME","TORRES_GMF","Cameras"
"São Gerardo","Não",0,3,4,0,0,0,0,0,7
"Jardim Guanabara","Não",0,1,1,0,0,0,0,0,2
"Carlito Pamplona","Não",4,0,0,0,0,0,0,0,4
"Monte Castelo","Não",0,2,0,0,0,0,0,0,2
"Cristo Redentor","Não",0,1,1,0,3,2,0,0,7
"Jardim Iracema","Não",0,1,0,0,0,0,0,0,1
"Boa Vista/Castelão","Não",0,0,8,0,0,0,0,0,8
"Barra do Ceará","5",1,7,6,0,0,0,2,32,48
"Pirambu","Não",0,1,0,0,0,0,0,0,1
"Floresta","Não",0,5,0,0,0,0,1,0,6
"Itaoca","Não",0,0,0,2,0,0,0,0,2
"Meireles","Não",16,0,15,0,0,4,0,26,61
"Bom Futuro","Não",1,0,0,0,0,0,0,0,1
"Vila Velha","Não",0,5,0,0,0,0,2,15,22
"Jardim América","Não",1,1,1,0,0,0,0,0,3
"Cocó","Não",4,0,3,1,0,0,0,0,8
"Cidade 2000","Não",0,1,0,0,0,0,0,0,1
"Bela Vista","Não",0,0,0,0,0,0,0,2,2
"Manuel Dias Branco","Não",0,1,0,0,0,0,0,1,2
"Praia do Futuro I","Não",2,1,1,0,0,0,0,2,6
"Mucuripe","1",3,0,1,3,0,0,0,9,16
"Praia do Futuro II","Não",0,0,2,0,0,0,0,15,17
"Olavo Oliveira","Não",0,1,0,0,0,0,0,0,1
"Engenheiro Luciano Cavalcante","Não",5,1,1,0,0,0,0,0,7
"Guararapes","Não",0,1,1,0,0,0,0,0,2
"Salinas","Não",0,0,1,0,0,0,0,0,1
"Varjota","Não",0,0,1,2,0,2,0,0,5
"Dionísio Torres","Não",11,0,3,3,0,0,0,0,17
"Papicu","Não",4,1,5,0,0,0,0,0,10
"Cais do Porto","1",0,1,1,3,0,0,1,4,10
"Aldeota","Não",26,2,7,0,0,4,0,0,39
"Vicente Pinzón","1",0,1,0,0,0,0,0,16,17
"Parquelândia","Não",10,0,0,0,0,0,0,0,10
"Antônio Bezerra","Não",0,4,0,0,0,0,0,0,4
"Quintino Cunha","Não",1,0,2,0,0,1,1,1,6
"De Lourdes","Não",0,0,0,0,0,0,0,0,0
"Amadeu Furtado","Não",0,1,0,0,0,2,0,0,3
"Henrique Jorge","Não",0,1,0,0,0,0,0,0,1
"Pedras","Não",0,1,0,0,0,0,0,0,1
"João XXIII","Não",0,1,0,0,0,0,0,1,2
"Autran Nunes","Não",0,1,0,0,0,0,0,0,1
"Jóquei Clube","Não",6,2,1,0,0,0,0,1,10
"Dom Lustosa","Não",0,0,0,0,0,0,0,0,0
"Presidente Kennedy","Não",1,2,2,0,0,0,0,0,5
