"bairro","nome","areasum"
"Aerolândia","Aerolândia",6662.06129107062
"Aerolândia","Alto da Balança",893.951997527354
"Aerolândia","Raul Barbosa",120348.912321232
"Aerolândia","Travessa Flamengo",13579.5232507679
"Aeroporto","Aerolândia",0.0427834419402564
"Aeroporto","Boa Noite",24340.0863733954
"Aeroporto","Buraco da Jia",0.106104242706909
"Aeroporto","Comunidade Rua do Guga",7965.79597930067
"Aeroporto","Lagoa do Opaia ou Vila Opaia",95942.0922712697
"Aeroporto","Lauro Chaves/Vila Castilho/Nova Divinéia",39599.3551505213
"Aeroporto","Vila União / Ouro Verde",9681.68362237676
"Aldeota","Campo do América",19041.1314730105
"Aldeota","Grande Favela do Trilho",33729.5295365125
"Alto da Balança","Comunidade Padre Cícero / Areal ou Raul Barbosa",17675.1906603186
"Alto da Balança","Comunidade Pantanal do Lagamar",30397.1519597188
"Alto da Balança","Lagamar",155894.9640119
"Alto da Balança","Santo Expedito",9340.97914449474
"Amadeu Furtado","Amadeu Furtado",11037.6523889587
"Amadeu Furtado","Amadeu Furtado II",5405.19779942182
"Amadeu Furtado","Bela Vista Nova",10071.8912784338
"Amadeu Furtado","Forro da Bala",4832.40524867443
"Amadeu Furtado","Vila João Freitas ou Travessa Maravilha",7512.38059552645
"Ancuri","Chico Mendes III",26028.1280163733
"Ancuri","Rua Jardim Botanico",56707.8604816152
"Ancuri","Rua Santo Brejo",19104.8393631196
"Ancuri","Santa Fé",49375.5027013392
"Antônio Bezerra","Antonio Bezerra",11670.2230665037
"Antônio Bezerra","Comunidade Alto do Bode",10377.9353472569
"Antônio Bezerra","Comunidade Sossego / Muriçoca",5.49097714335695
"Antônio Bezerra","Comunidade Travessa Maranguapinho",20985.5249355512
"Antônio Bezerra","Comunidade da Chesf",0.00520921623941656
"Antônio Bezerra","Conjunto Mangueiral",1.73558432087231
"Antônio Bezerra","Daniel de Castro",0.626570920287647
"Antônio Bezerra","Dom Lustosa",2.34795626501162
"Antônio Bezerra","Rua Pedro Melo",44980.7268645207
"Antônio Bezerra","Tupinambá da Frota",48395.5669837584
"Antônio Bezerra","Unidos Venceremos",2.70712599227903
"Aracapé","Godofredo Maciel",14612.647117486
"Aracapé","Pantanal I",103.531124702772
"Aracapé","Rua Jequitibá",3285.51962535094
"Autran Nunes","Alto do Bode",135679.936684134
"Autran Nunes","Autran Nunes",49640.1411039737
"Autran Nunes","Comunidade Alto do Bode",0.0011518039377212
"Autran Nunes","Comunidade Beco do Cal",2302.63291966918
"Autran Nunes","Comunidade Beira Rio I e II / Sem terra",46408.63117132
"Autran Nunes","Daniel de Castro",14285.3421823472
"Autran Nunes","Dom Lustosa",10084.1535822024
"Autran Nunes","Favela do Canil",82261.5675687178
"Autran Nunes","Genibau",285.779792412354
"Autran Nunes","Goiânia",55677.376759561
"Autran Nunes","Graco Cardoso",34192.8860907095
"Autran Nunes","Travessa Alvorada",4832.56433181793
"Autran Nunes","Tupinambá da Frota",0.055814616444812
"Barra do Ceará","Av 20 de janeiro",3535.40937444479
"Barra do Ceará","Boa Esperança/Colibri",16800.8750986764
"Barra do Ceará","Brisa da Praia",102233.571368135
"Barra do Ceará","Buraco da Gia (Antônio Bezerra)",5686.56258738033
"Barra do Ceará","Cimpelco",92831.2811369462
"Barra do Ceará","Comunidade 6 Companheiros / Santa Maria Gorethe",7557.75135749616
"Barra do Ceará","Comunidade Goiabeiras",19807.4330646761
"Barra do Ceará","Comunidade Novo Lar",106222.847972768
"Barra do Ceará","Comunidade Riacho Doce/Jardim Iracema",88222.6389187144
"Barra do Ceará","Cristo Redentor",34616.2590892573
"Barra do Ceará","Dunas I",55463.9613397727
"Barra do Ceará","Dunas II / Goiabeira",147735.889998295
"Barra do Ceará","Jardim Petrópolis",37015.1430448621
"Barra do Ceará","Lutar e Vencer",4.66904193337679
"Barra do Ceará","Quatro Varas I",127812.207496278
"Barra do Ceará","Quatro Varas II",11360.5685835372
"Barra do Ceará","Santa Inês/Pirambu",12.7836165645673
"Barra do Ceará","Santo Amaro",42702.8615708179
"Barra do Ceará","Sete Prédios",5390.12761360916
"Barra do Ceará","Sonho Meu",117492.838648297
"Barra do Ceará","Sítio Aratanha/Grafisa",111212.576240483
"Barra do Ceará","Tavessa José Vilar/contorno Pres Castelo Branco",6568.48564399155
"Barra do Ceará","Terra Prometida",21779.6881078504
"Barra do Ceará","Travessa Olical",13330.9760791512
"Barra do Ceará","Vila Ivone",31139.1442227108
"Barra do Ceará","Vilagg",34878.9894482792
"Barroso","Barroso",4504.81881905763
"Barroso","Che Guevara",869.414745094667
"Barroso","Comunidade 1 de Março",77303.2291002141
"Barroso","Comunidade N S Aparecida",212.74596631488
"Barroso","Comunidade Waldemar de Alcantara",39219.4655324556
"Barroso","Jangurussu (Conjunto João Paulo II)",35216.029402599
"Barroso","João Paulo II",108134.8018401
"Barroso","Matadouro",40896.7321356486
"Barroso","Monte Verde - Campo do Remo",18665.123906551
"Barroso","Nossa Sra de Fátima - Santana II",111358.344953624
"Barroso","Pingo de Luz",62829.6852150766
"Barroso","Rua Jonas Bezerra",7614.29887800044
"Barroso","Rua Maximino Barreto",51484.4582758627
"Barroso","Rua do Pedestre",153658.743160485
"Barroso","Santa Maria Gorete",343.242810665514
"Barroso","Santa Rita",51523.5222732601
"Barroso","São Francisco II",31509.8542557345
"Bela Vista","Amadeu Furtado",260.927197256413
"Bela Vista","Bela Vista",12620.0566416178
"Bela Vista","Copacabana",30279.4476435905
"Bela Vista","Nossa Senhora da Penha",0.00258459353175812
"Bela Vista","Riacho do Corrente",20747.4669177061
"Bela Vista","Rua 3 de Maio",19734.1681736036
"Benfica","Canal Eduardo Girão",3775.15225081595
"Benfica","Comunidade Beco dos Pintos",15.0937605920054
"Boa Vista/Castelão","Avenida Paulino Rocha",879.075718679797
"Boa Vista/Castelão","Carcará",147.556945182692
"Boa Vista/Castelão","Comunidade N S Aparecida",13.2786496349956
"Boa Vista/Castelão","Comunidade do Cal",63152.155955355
"Boa Vista/Castelão","Gavião",21222.3968037302
"Boa Vista/Castelão","Jagata",4025.14845188989
"Boa Vista/Castelão","Lairton Ribeiro",42444.5834355891
"Boa Vista/Castelão","Primeiro de Abril",28172.0842953236
"Boa Vista/Castelão","Rua Bandeira de Melo",0.0498315587698279
"Boa Vista/Castelão","São Sebastião",64685.008009449
"Bom Futuro","Trenzinho",2054.33492036074
"Bom Jardim","Comunidade Canal Leste",176165.241039532
"Bom Jardim","Comunidade Lagoa do Mela Mela",0.0329827269933695
"Bom Jardim","Comunidade Parque Santo Amaro",78179.8536967123
"Bom Jardim","Favela Santa Teresinha",18780.6318393479
"Bom Jardim","Favela do Pantanal/Nova Friburgo",70633.7763134058
"Bom Jardim","Parque Olivândia",12507.9041563089
"Bom Jardim","Rei do Gado",87935.0819917745
"Bom Jardim","Travessa Itu",16363.1026753402
"Bonsucesso","Bonsucesso",14616.8399606442
"Bonsucesso","Comunidade Carlos Chagas",4584.63100043654
"Bonsucesso","Livreiro Gualter II",140.975679824979
"Bonsucesso","Lumes/Vila Maria",0.000553451358467046
"Bonsucesso","Margem do Rio",67743.4135862085
"Bonsucesso","Menino Deus/ Bragança",0.000538176659271258
"Bonsucesso","Parque Olivândia",0.00451705163553016
"Bonsucesso","Parque São Luis",46.9236820527456
"Bonsucesso","Pedreira / Riacho das Pedras",114731.038454599
"Bonsucesso","Rua Pomar Carioca",15398.8503638185
"Bonsucesso","Rua das Acácias",3631.84089228644
"Bonsucesso","Sonho Meu II",534.182452440347
"Bonsucesso","Vital Brasil",8765.86326786264
"Cais do Porto","Casa do Samba",9145.22834913715
"Cais do Porto","Castelo Encantado",98380.8553978129
"Cais do Porto","Comunidade Serviluz/Titanzinho",522037.483513181
"Cais do Porto","Delmar",29354.7725772768
"Cais do Porto","IPECEA / Estivas",73173.0065642777
"Cais do Porto","Morro da Vitória/Farol Novo 2",9.75758466336352e-08
"Cais do Porto","Morro do Mirante",3682.65727277109
"Cajazeiras","Avenida Paulino Rocha",36878.6926980179
"Cajazeiras","Cajazeiras",6038.03921096352
"Cajazeiras","Carcará",575.248256645798
"Cajazeiras","Che Guevara",200509.959003269
"Cajazeiras","Comunidade N S Aparecida",1.0661727665708
"Cajazeiras","Comunidade Waldemar de Alcantara",25.8789069313544
"Cajazeiras","Comunidade do Cal",55.8727432834598
"Cajazeiras","Nossa Sra de Fátima - Santana II",34.9722671693857
"Cajazeiras","S D Cajazeiras",6726.48764643937
"Cajazeiras","Santa Maria Gorete",23976.2367728847
"Cambeba","Novo Alagadiço II",15704.0272548854
"Cambeba","Novo Cambeba",47253.3849189147
"Cambeba","Ocupação Novo Alagadiço trecho I",0.000871279421451755
"Cambeba","Riacho Doce / Via Sul",2.81600586902054e-08
"Canindezinho","Av Jardim Fluminense",23803.3199096007
"Canindezinho","Canindezinho",41232.8814440235
"Canindezinho","Comunidade 8 de dezembro",2600.23756715507
"Canindezinho","Comunidade Jardim Fluminense",114572.50420222
"Canindezinho","Comunidade Jerusalém I e II",212799.282561767
"Canindezinho","Comunidade Parque São José",161250.950325029
"Canindezinho","Parque Alto Alegre",937060.380933837
"Canindezinho","Parque Nazaré",0.00731188379337995
"Canindezinho","Parque Santa Rosa",94599.5659273222
"Canindezinho","Planalto Canindezinho",29499.4338194512
"Carlito Pamplona","Carlito Pamplona",16885.1574547586
"Carlito Pamplona","Comunidade do Tirol",237155.204853452
"Carlito Pamplona","Machado Araújo",22185.1421626577
"Carlito Pamplona","Olavo Andrade",23870.2574198364
"Carlito Pamplona","Rua Lucas",19304.5109086297
"Carlito Pamplona","Santa Elisa/Pirambu",24.7530087651596
"Carlito Pamplona","Travessa Olimpio Paiva",12391.3800223434
"Carlito Pamplona","Travessa Teresina",17546.4964339807
"Carlito Pamplona","Vila Caminha",13961.4647163162
"Centro","Arraial Moura Brasil",626.015169169504
"Centro","Graviola",24118.3936316586
"Centro","Poço da Draga",44628.8011783376
"Centro","São Pedro",14230.8900567668
"Cidade dos Funcionários","Rua Gel Castelo Branco",4.74807431712488
"Cidade dos Funcionários","Tancredo Neves",0.339833301325495
"Cidade dos Funcionários","Vila Cazumba",138136.416844837
"Coaçu","Jardim Arrebol",796.928248435907
"Coaçu","Rua São Jorge",26900.5673752915
"Cocó","Cocó Cidade 2002",43757.1368545579
"Cocó","Grande Favela do Trilho",9028.37485361861
"Cocó","Santos Dumont / Areia Grossa",10.5322731290193
"Cocó","Telemar",1303.00856357898
"Conjunto Ceará I","Comunidade do Capim",0.108262150053929
"Conjunto Ceará I","Dias Monteiro / Olaria e Nova Jerusalem",0.0899428316359127
"Conjunto Ceará I","Favela da Mata",0.0227633779550332
"Conjunto Ceará I","Área Verde I (Conjunto Ceará)",0.106892201176571
"Conjunto Esperança","Campos Belos",84675.608296007
