"bairro","Polig_atuac","areaB","area_aglom","Área aglomerado (%)"
"São Gerardo","Não",1482075.03099532,3.67289289008392,0
"Jardim Guanabara","Não",737281.93692665,147.373806103498,0.02
"Carlito Pamplona","Não",1359478.06923451,363324.36698074,26.73
"Monte Castelo","Não",781069.813197554,47060.8030108639,6.03
"Cristo Redentor","Não",1194428.50003303,774926.689088334,64.88
"Jardim Iracema","Não",1107801.38807143,28819.6986439373,2.6
"Boa Vista/Castelão","Não",2970608.09686154,224741.338096393,7.57
"Barra do Ceará","5",4301195.93091514,1241415.54066493,28.86
"Pirambu","Não",569020.46885662,554725.106786499,97.49
"Floresta","Não",1723053.66545527,495220.456059745,28.74
"Itaoca","Não",744577.286083242,699.63979275669,0.09
"Meireles","Não",2663995.05996321,51691.2982117802,1.94
"Bom Futuro","Não",385591.212263292,2054.33492036074,0.53
"Vila Velha","Não",7180540.32059961,984163.602758754,13.71
"Jardim América","Não",775160.304995504,93488.7954503489,12.06
"Cocó","Não",3287797.15845877,54099.0525448845,1.65
"Cidade 2000","Não",NA,NA,NA
"Bela Vista","Não",986538.207504098,83642.069158368,8.48
"Manuel Dias Branco","Não",4474390.35378315,277182.294192134,6.19
"Praia do Futuro I","Não",1740852.06068497,94406.0008107623,5.42
"Mucuripe","1",875099.98455149,192852.630133579,22.04
"Praia do Futuro II","Não",3179641.4780484,921505.309492833,28.98
"Olavo Oliveira","Não",714847.069749567,28135.9230769322,3.94
"Engenheiro Luciano Cavalcante","Não",3887339.1267539,29483.9305496768,0.76
"Guararapes","Não",NA,NA,NA
"Salinas","Não",2557723.48637281,10852.7843791986,0.42
"Varjota","Não",534394.100303248,1322.9479161525,0.25
"Dionísio Torres","Não",1731305.77397295,13313.3023548549,0.77
"Papicu","Não",2114633.74916669,234151.475294398,11.07
"Cais do Porto","1",2745642.81525778,735774.003674554,26.8
"Aldeota","Não",3895491.46965897,52770.661009523,1.35
"Vicente Pinzón","1",3147805.49001037,1284409.22908979,40.8
"Parquelândia","Não",NA,NA,NA
"Antônio Bezerra","Não",2206680.9177387,136422.890621449,6.18
"Quintino Cunha","Não",2144086.09029789,514737.049935931,24.01
"De Lourdes","Não",1372106.96068662,0.0330359752789616,0
"Amadeu Furtado","Não",939069.332190284,38859.5273110152,4.14
"Henrique Jorge","Não",1955021.8813517,86011.1374757019,4.4
"Pedras","Não",7158729.39526412,35041.5339791852,0.49
"João XXIII","Não",1182190.62233684,56269.2396470747,4.76
"Autran Nunes","Não",979467.909013208,435651.069153285,44.48
"Jóquei Clube","Não",1708579.99314052,12560.0620214805,0.74
"Dom Lustosa","Não",1203359.28606292,138424.705362068,11.5
"Presidente Kennedy","Não",1723578.25826749,221775.110677673,12.87
"Pici","Não",3756863.18314479,1020584.08682937,27.17
"Bonsucesso","Não",2544465.12056868,230194.564948854,9.05
"Panamericano","Não",554612.646176481,0.00145893983408803,0
"Padre Andrade","Não",1269559.4902272,67554.3980558413,5.32
"Demócrito Rocha","Não",807119.582051785,57137.3309062719,7.08
"Couto Fernandes","Não",322813.698057482,109354.301195229,33.88
"Montese","Não",1919989.50362225,55285.2491399836,2.88
"Vila União","Não",1406275.03833571,57252.0930456011,4.07
"José Bonifácio","Não",892905.199697215,2998.80923461014,0.34
"Aeroporto","Não",6260335.33433584,177529.162284549,2.84
"Ellery","Não",464778.25833004,3.19807539896687e-08,0
"Parque Santa Rosa","Não",1006315.11758685,31575.3860709049,3.14
"Moura Brasil","Não",426134.810896849,108238.577957784,25.4
"Benfica","Não",1465232.65776545,3790.24601140795,0.26
"Granja Lisboa","2",5231107.75072371,506566.262068793,9.68
"Dendê","Não",1977503.57976885,298535.225564867,15.1
"Mondubim","Não",7161471.32304798,491952.506803225,6.87
"Jardim Cearense","Não",862778.661908229,43560.8208155292,5.05
"Vila Peri","Não",1495804.63772704,29276.7901573532,1.96
"Passaré","Não",7217130.5462077,751658.397182267,10.41
"Manoel Sátiro","Não",1437898.46964131,11114.1431248141,0.77
"Parque São José","Não",599124.481603375,15623.7806174762,2.61
"Barroso","Não",3457234.14084663,795344.511270743,23.01
"Conjunto Esperança","Não",982419.584340245,127857.876013973,13.01
"Genibaú","3",2167555.60549801,1311418.28487234,60.5
"Centro","Não",4914965.44245284,83604.1000359325,1.7
"Granja Portugal","3",2535272.84172757,337742.139922972,13.32
"Bom Jardim","2",2452743.63197538,460565.624695148,18.78
"Prefeito José Walter","Não",8482444.77373165,641391.014778721,7.56
"Planalto Ayrton Senna","Não",3400197.47347066,893072.632643061,26.27
"Aracapé","Não",2189022.08950333,18001.6978675397,0.82
"Parque Presidente Vargas","Não",1551775.44596409,380481.886693939,24.52
"Canindezinho","2",3730799.2844009,1617418.56400229,43.35
"Novo Mondubim","Não",1762290.32760078,15897.7597610446,0.9
"Siqueira","2",6384892.21973624,1042609.66012257,16.33
"Parque Manibura","Não",1274236.2595255,11522.5204047825,0.9
"Sabiaguaba","Não",10157243.3884882,225924.518527904,2.22
"Lagoa Redonda","Não",11559045.8558785,387489.025810598,3.35
"Coaçu","Não",1719408.28888345,27697.4956237274,1.61
"São Bento","Não",2202997.36689151,85851.7708156133,3.9
"Paupina","Não",5437871.24860956,355623.720782264,6.54
"Serrinha","Não",2962661.37057561,546572.350304867,18.45
"Joaquim Távora","Não",1973321.09320282,24586.8445989195,1.25
"Ancuri","Não",2190683.51491284,151216.330562447,6.9
"Jardim das Oliveiras","Não",2399458.95395023,234971.998683629,9.79
"Edson Queiroz","Não",13909560.3759058,549440.116665778,3.95
"Alto da Balança","Não",907721.393091221,213308.285776432,23.5
"Cajazeiras","Não",3426218.41200153,274822.453678371,8.02
"Cambeba","Não",2750312.74544231,62957.4130451077,2.29
"José de Alencar","Não",3128270.48298921,155786.083994509,4.98
"Parque Santa Maria","Não",1978315.72019273,270262.574484224,13.66
"Guajeru","4",1078725.29467357,47236.0526028486,4.38
"Parreão","Não",1021548.83274562,3463.66725376261,0.34
"Messejana","Não",6080655.7381193,110194.813900181,1.81
"Curió","4",647149.347430451,289058.130952867,44.67
"Conjunto Palmeiras","Não",5520257.8763925,980126.927185195,17.76
"Jangurussu","Não",8046050.04483016,947086.842282307,11.77
"Álvaro Weyne","Não",1428101.48540477,100449.317068459,7.03
"Parque Iracema","Não",1575008.35080415,12004.0344652346,0.76
"Cidade dos Funcionários","Não",2801279.0117075,138141.504752456,4.93
"Fátima","Não",2875818.90181272,15410.1249632341,0.54
"Conjunto Ceará II","3",NA,NA,NA
"Rodolfo Teófilo","Não",1711581.93855265,37210.0909397216,2.17
"Parque Dois Irmãos","Não",4398559.54064222,379668.550073891,8.63
"Aerolândia","Não",1109816.36451428,141484.448860598,12.75
"Itaperi","Não",2559979.5501037,132951.888075951,5.19
"Conjunto Ceará I","3",1604354.14656937,0.327860560821446,0
"Parangaba","Não",4064626.5426636,137136.270910774,3.37
"Jacarecanga","Não",1268394.42847829,118188.860368317,9.32
"Dias Macêdo","Não",1741177.57148686,243560.035354955,13.99
"Farias Brito","Não",934788.17887457,96655.1011078088,10.34
"Damas","Não",901356.568525371,22497.8058408432,2.5
"Tauape","Não",2503863.34365818,272261.305092312,10.87
"Praia de Iracema","6",535979.797311749,2892.47021363063,0.54
"Maraponga","Não",1706233.05498778,93624.3241308623,5.49
"Parque Araxá","Não",NA,NA,NA
"Sapiranga/Coité","Não",4793162.06136958,561659.525039195,11.72
