ID,SITIO,BAIRRO,REGIONAL,MACROZONA,MICROZONA,SCN,STATUS,FINALIDADE,ENDERECO,VIA_SENTIDO,DESCRICAO,DATA_ATIVACAO,DATA_DESATIVACAO,FISCALIZACAO,FAIXAS_VIA,FXSTRAFDIR,FAIXAS_FIS,TEMCONTAGE,INFVELOCID,LONG,LAT
221,FS063,Boa Vista/Castelão,SR 8,,,00256:D,Ativo,Fiscalização,"Av. Alberto Craveiro, 2601 [S-N]",Av. Alberto Craveiro [S-N],Meio de quadra,20130829,,Metrológico,4,3,3,S,S,"-38,521031","-3,802721"
222,FS069,Boa Vista/Castelão,SR 8,,,00256:D,Ativo,Fiscalização,"Av. Alberto Craveiro, 2634 [N-S]",Av. Alberto Craveiro [N-S],Meio de quadra,20130829,,Metrológico,4,4,4,S,S,"-38,521161","-3,802603"
332,FS116,Boa Vista/Castelão,SR 8,,,00256:D,Ativo,Fiscalização,"Av. Alberto Craveiro, 2027 [S-N]",Av. Alberto Craveiro [S-N],Meio de quadra,20141021,,Metrológico,4,4,4,S,S,"-38,51868","-3,798141"
348,FS120,Boa Vista/Castelão,SR 8,,,00256:D,Ativo,Fiscalização,"Av. Alberto Craveiro, 2222 [N-S]",Av. Alberto Craveiro [N-S],Meio de quadra,20150622,,Metrológico,3,4,4,S,S,"-38,518832","-3,797908"
231,1385163,Boa Vista/Castelão,SR 8,,,00256:D,Ativo,Fiscalização,"Av. Alberto Craveiro, 1480 [N-S]",Av. Alberto Craveiro [N-S],Travessia de pedestres,20140728,,Misto,4,4,4,S,S,"-38,517841","-3,793321"
232,1385162,Boa Vista/Castelão,SR 8,,,00256:D,Ativo,Fiscalização,"Av. Alberto Craveiro, 1480 - Oposto [S-N]",Av. Alberto Craveiro [S-N],Travessia de pedestres,20140722,,Misto,4,4,4,S,S,"-38,517638","-3,793362"
88,AT079,Antônio Bezerra,SR 3,,,00151:C,Inativo,Fiscalização,"Rua Cel. Matos Dourado, 350 [N-S]",R. Coronel Matos Dourado [N-S],Meio de quadra,20130522,20170123,Metrológico,4,2,2,S,S,"-38,585246","-3,74195"
214,AT097,Antônio Bezerra,SR 3,,,00151:C,Inativo,Fiscalização,"Rua Cel. Matos Dourado, 350 [N-S]",R. Coronel Matos Dourado [N-S],Meio de quadra,20130522,20190331,Metrológico,4,2,2,S,S,"-38,585192","-3,741946"
190,1385049,Antônio Bezerra,SR 3,,,00151:A,Inativo,Fiscalização,Av. Demétrio Menezes x Av. Sargento Hermínio Sampaio [N-S],Av. Demétrio Menezes [N-S],Cruzamento,20130918,20201211,Não-metrológico,2,2,2,S,N,"-38,584358","-3,733793"
230,1385205,Antônio Bezerra,SR 3,,,00151:A,Ativo,Fiscalização,"Rua Demétrio Menezes, 3303 - Oposto [N-S]",R. Demétrio Menezes [N-S],Travessia de pedestres,20130930,,Misto,2,2,2,S,S,"-38,584473","-3,732816"
177,1385190,Passaré,SR 8,,,00350:F,Ativo,Fiscalização,Av. Presidente Costa e Silva x Av. Presidente Juscelino Kubischek [L-O],Av. Pres. Costa e Silva [L-O],Travessia de pedestres,20130731,,Misto,3,3,3,S,S,"-38,539297","-3,82563"
77,FS005,Passaré,SR 8,,,00350:F,Inativo,Fiscalização,"Av. Presidente Costa e Silva, 5301 [L-O]",Av. Pres. Costa e Silva [L-O],Travessia de pedestres,20130301,20201211,Metrológico,3,2,2,S,S,"-38,533133","-3,828078"
63,FS033,Passaré,SR 8,,,00168:C,Ativo,Fiscalização,"Av. Juscelino Kubitschek, 4500 - Oposto [S-N]",Av. Juscelino Kubitschek [S-N],Travessia de pedestres,20130221,,Metrológico,3,3,3,S,S,"-38,532836","-3,818065"
67,FS086,Passaré,SR 8,,,00168:C,Ativo,Fiscalização,"Av. Juscelino Kubitschek, 4500 [N-S]",Av. Juscelino Kubitschek [N-S],Travessia de pedestres,20130221,,Metrológico,3,3,3,S,S,"-38,532391","-3,817195"
294,1385235,Passaré,SR 8,,,00168:B,Inativo,Fiscalização,"Av. Juscelino Kubitschek, 3700 [N-S]",Av. Juscelino Kubitschek [N-S],Travessia de pedestres,20141208,20201211,Misto,3,3,3,S,S,"-38,530124","-3,814066"
293,1385236,Passaré,SR 8,,,00168:B,Inativo,Fiscalização,"Av. Juscelino Kubitschek, 3700 - Oposto [S-N]",Av. Juscelino Kubitschek [S-N],Travessia de pedestres,20141208,20201211,Misto,3,3,3,S,S,"-38,529993","-3,814175"
597,1385346,Passaré,SR 8,,,00256:D,Inativo,Fiscalização,Av. Dep. Paulino Rocha x Av. Pompílio Gomes [L-O],Av. Deputado Paulino Rocha [L-O],Cruzamento,20161208,20170519,Misto,2,2,2,S,S,"-38,519576","-3,810052"
121,1385129,Joaquim Távora,SR 2,Corredor,Pontes Vieira,00049:B,Inativo,Fiscalização,Av. Pontes Vieira x Av. Visconde do Rio Branco [L-O],Av. Pontes Vieira [L-O],Cruzamento,20130502,20201211,Misto,2,2,2,S,S,"-38,520404","-3,7535"
488,1385279,Joaquim Távora,SR 2,Corredor,Aldeota Sul,00160:K,Ativo,Fiscalização,"Av. Antônio Sales, 49 - Oposto, entre Av. Visconde do Rio Branco e Rua Dona Leopoldina [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150616,,Não-metrológico,3,1,1,S,N,"-38,522906","-3,738964"
484,1385281,Joaquim Távora,SR 2,Corredor,Aldeota Sul,00583:D,Ativo,Fiscalização,"Av. Antônio Sales, entre Rua Henrique Rabelo e Rua Nogueira Acioli [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150901,,Não-metrológico,3,1,1,S,N,"-38,520982","-3,739687"
454,1385282,Joaquim Távora,SR 2,Corredor,Aldeota Sul,00114:H,Ativo,Fiscalização,"Av. Antônio Sales, 230 - Entre Rua Nogueira Acioli e Rua Padre Antonino [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150612,,Não-metrológico,3,1,1,S,N,"-38,519853","-3,740053"
483,1385280,Joaquim Távora,SR 2,Corredor,Aldeota Sul,00583:D,Ativo,Fiscalização,"Av. Antônio Sales, entre Rua Dona Leopoldina e Rua N. S da Piedade [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150901,,Não-metrológico,3,1,1,S,N,"-38,521941","-3,739377"
207,1385194,Joaquim Távora,SR 2,Corredor,Pontes Vieira,00068:F,Ativo,Fiscalização,Av. Pontes Vieira x Rua Capitão Gustavo [L-O],Av. Pontes Vieira [L-O],Cruzamento,20131014,,Misto,2,2,2,S,S,"-38,517025","-3,753098"
122,FS105,Joaquim Távora,SR 2,,,00318:A,Inativo,Fiscalização,"Av. Rui Barbosa, 2727 [N-S]",Av. Rui Barbosa [N-S],Meio de quadra,20131003,20201211,Metrológico,3,2,2,S,S,"-38,512918","-3,746794"
455,1385283,Joaquim Távora,SR 2,Corredor,Aldeota Sul,00114:H,Ativo,Fiscalização,"Av. Antônio Sales, 278 - Entre Rua Gonçalves Lêdo e Rua Pedra Branca [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150612,,Não-metrológico,3,1,1,S,N,"-38,51869","-3,740422"
452,1385284,Joaquim Távora,SR 2,Corredor,Aldeota Sul,00382:D,Ativo,Fiscalização,"Av. Antônio Sales, 414 (entre Rua João Cordeiro e Rua Antônio Augusto) [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150624,,Não-metrológico,3,1,1,S,N,"-38,51768","-3,740739"
453,1385285,Joaquim Távora,SR 2,Corredor,Aldeota Sul,00382:D,Ativo,Fiscalização,"Av. Antônio Sales, 535 (entre Rua Antônio Augusto e Rua Idelfonso Albano) [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150624,,Não-metrológico,3,1,1,S,N,"-38,516653","-3,741056"
441,1385286,Joaquim Távora,SR 2,Corredor,Aldeota Sul,00498:L,Ativo,Fiscalização,"Av. Antônio Sales, 672 [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150611,,Não-metrológico,3,1,1,S,N,"-38,515458","-3,741431"
442,1385287,Joaquim Távora,SR 2,Corredor,Aldeota Sul,00498:L,Ativo,Fiscalização,"Av. Antônio Sales, 770 [O-L]",Av. Antônio Sales [O-L],Meio de quadra,20150611,,Não-metrológico,3,1,1,S,N,"-38,514569","-3,741701"
