"bairro","Polig_atuac"
"São Gerardo","Não"
"Jardim Guanabara","Não"
"Carlito Pamplona","Não"
"Monte Castelo","Não"
"Cristo Redentor","Não"
"Jardim Iracema","Não"
"Boa Vista/Castelão","Não"
"Barra do Ceará","5"
"Pirambu","Não"
"Floresta","Não"
"Itaoca","Não"
"Meireles","Não"
"Bom Futuro","Não"
"Vila Velha","Não"
"Jardim América","Não"
"Cocó","Não"
"Cidade 2000","Não"
"Bela Vista","Não"
"Manuel Dias Branco","Não"
"Praia do Futuro I","Não"
"Mucuripe","1"
"Praia do Futuro II","Não"
"Olavo Oliveira","Não"
"Engenheiro Luciano Cavalcante","Não"
"Guararapes","Não"
"Salinas","Não"
"Varjota","Não"
"Dionísio Torres","Não"
"Papicu","Não"
"Cais do Porto","1"
"Aldeota","Não"
"Vicente Pinzón","1"
"Parquelândia","Não"
"Antônio Bezerra","Não"
"Quintino Cunha","Não"
"De Lourdes","Não"
"Amadeu Furtado","Não"
"Henrique Jorge","Não"
"Pedras","Não"
"João XXIII","Não"
"Autran Nunes","Não"
"Jóquei Clube","Não"
"Dom Lustosa","Não"
"Presidente Kennedy","Não"
"Pici","Não"
"Bonsucesso","Não"
"Panamericano","Não"
"Padre Andrade","Não"
"Demócrito Rocha","Não"
"Couto Fernandes","Não"
"Montese","Não"
"Vila União","Não"
"José Bonifácio","Não"
"Aeroporto","Não"
"Ellery","Não"
"Parque Santa Rosa","Não"
"Moura Brasil","Não"
"Benfica","Não"
"Granja Lisboa","2"
"Dendê","Não"
"Mondubim","Não"
"Jardim Cearense","Não"
"Vila Peri","Não"
"Passaré","Não"
"Manoel Sátiro","Não"
"Parque São José","Não"
"Barroso","Não"
"Conjunto Esperança","Não"
"Genibaú","3"
"Centro","Não"
"Granja Portugal","3"
"Bom Jardim","2"
"Prefeito José Walter","Não"
"Planalto Ayrton Senna","Não"
"Aracapé","Não"
"Parque Presidente Vargas","Não"
"Canindezinho","2"
"Novo Mondubim","Não"
"Siqueira","2"
"Parque Manibura","Não"
"Sabiaguaba","Não"
"Lagoa Redonda","Não"
"Coaçu","Não"
"São Bento","Não"
"Paupina","Não"
"Serrinha","Não"
"Joaquim Távora","Não"
"Ancuri","Não"
"Jardim das Oliveiras","Não"
"Edson Queiroz","Não"
"Alto da Balança","Não"
"Cajazeiras","Não"
"Cambeba","Não"
"José de Alencar","Não"
"Parque Santa Maria","Não"
"Guajeru","4"
"Parreão","Não"
"Messejana","Não"
"Curió","4"
"Conjunto Palmeiras","Não"
"Jangurussu","Não"
"Álvaro Weyne","Não"
"Parque Iracema","Não"
"Cidade dos Funcionários","Não"
"Fátima","Não"
"Conjunto Ceará II","3"
"Rodolfo Teófilo","Não"
"Parque Dois Irmãos","Não"
"Aerolândia","Não"
"Itaperi","Não"
"Conjunto Ceará I","3"
"Parangaba","Não"
"Jacarecanga","Não"
"Dias Macêdo","Não"
"Farias Brito","Não"
"Damas","Não"
"Tauape","Não"
"Praia de Iracema","6"
"Maraponga","Não"
"Parque Araxá","Não"
"Sapiranga/Coité","Não"
