"bairro","Polig_atuac","Ecopontos"
"São Gerardo","Não",1
"Jardim Guanabara","Não",0
"Carlito Pamplona","Não",2
"Monte Castelo","Não",1
"Cristo Redentor","Não",1
"Jardim Iracema","Não",0
"Boa Vista/Castelão","Não",0
"Barra do Ceará","5",4
"Pirambu","Não",1
"Floresta","Não",3
"Itaoca","Não",1
"Meireles","Não",0
"Bom Futuro","Não",0
"Vila Velha","Não",2
"Jardim América","Não",0
"Cocó","Não",1
"Cidade 2000","Não",1
"Bela Vista","Não",1
"Manuel Dias Branco","Não",0
"Praia do Futuro I","Não",0
"Mucuripe","1",0
"Praia do Futuro II","Não",0
"Olavo Oliveira","Não",0
"Engenheiro Luciano Cavalcante","Não",1
"Guararapes","Não",1
"Salinas","Não",0
"Varjota","Não",1
"Dionísio Torres","Não",0
"Papicu","Não",1
"Cais do Porto","1",0
"Aldeota","Não",0
"Vicente Pinzón","1",2
"Parquelândia","Não",0
"Antônio Bezerra","Não",1
"Quintino Cunha","Não",0
"De Lourdes","Não",0
"Amadeu Furtado","Não",1
"Henrique Jorge","Não",0
"Pedras","Não",1
"João XXIII","Não",1
"Autran Nunes","Não",2
"Jóquei Clube","Não",1
"Dom Lustosa","Não",0
"Presidente Kennedy","Não",0
"Pici","Não",2
"Bonsucesso","Não",1
"Panamericano","Não",0
"Padre Andrade","Não",0
"Demócrito Rocha","Não",0
"Couto Fernandes","Não",0
"Montese","Não",0
"Vila União","Não",0
"José Bonifácio","Não",0
"Aeroporto","Não",0
"Ellery","Não",0
"Parque Santa Rosa","Não",0
"Moura Brasil","Não",0
"Benfica","Não",0
"Granja Lisboa","2",1
"Dendê","Não",0
"Mondubim","Não",3
"Jardim Cearense","Não",1
"Vila Peri","Não",1
"Passaré","Não",1
"Manoel Sátiro","Não",0
"Parque São José","Não",0
"Barroso","Não",2
"Conjunto Esperança","Não",1
"Genibaú","3",0
"Centro","Não",3
"Granja Portugal","3",1
"Bom Jardim","2",0
"Prefeito José Walter","Não",3
"Planalto Ayrton Senna","Não",0
"Aracapé","Não",1
"Parque Presidente Vargas","Não",0
"Canindezinho","2",0
"Novo Mondubim","Não",0
"Siqueira","2",1
"Parque Manibura","Não",0
"Sabiaguaba","Não",0
"Lagoa Redonda","Não",1
"Coaçu","Não",0
"São Bento","Não",2
"Paupina","Não",1
"Serrinha","Não",1
"Joaquim Távora","Não",1
"Ancuri","Não",0
"Jardim das Oliveiras","Não",2
"Edson Queiroz","Não",1
"Alto da Balança","Não",1
"Cajazeiras","Não",1
"Cambeba","Não",0
"José de Alencar","Não",0
"Parque Santa Maria","Não",0
"Guajeru","4",0
"Parreão","Não",1
"Messejana","Não",2
"Curió","4",0
"Conjunto Palmeiras","Não",0
"Jangurussu","Não",3
"Álvaro Weyne","Não",1
"Parque Iracema","Não",0
"Cidade dos Funcionários","Não",2
"Fátima","Não",2
"Conjunto Ceará II","3",2
"Rodolfo Teófilo","Não",1
"Parque Dois Irmãos","Não",1
"Aerolândia","Não",0
"Itaperi","Não",1
"Conjunto Ceará I","3",1
"Parangaba","Não",1
"Jacarecanga","Não",2
"Dias Macêdo","Não",1
"Farias Brito","Não",0
"Damas","Não",1
"Tauape","Não",0
"Praia de Iracema","6",0
"Maraponga","Não",0
"Parque Araxá","Não",0
"Sapiranga/Coité","Não",3
